Team,W
Atlanta Hawks,41
Boston Celtics,36
Brooklyn Nets,48
Charlotte Hornets,33
Chicago Bulls,31
Cleveland Cavaliers,22
Dallas Mavericks,42
Denver Nuggets,47
Detroit Pistons,20
Golden State Warriors,39
Houston Rockets,17
Indiana Pacers,34
Los Angeles Clippers,47
Los Angeles Lakers,42
Memphis Grizzlies,38
Miami Heat,40
Milwaukee Bucks,46
Minnesota Timberwolves,23
New Orleans Pelicans,31
New York Knicks,41
Oklahoma City Thunder,22
Orlando Magic,21
Philadelphia 76ers,49
Phoenix Suns,51
Portland Trail Blazers,42
Sacramento Kings,31
San Antonio Spurs,33
Toronto Raptors,27
Utah Jazz,52
Washington Wizards,34
